iter	Passed	Remaining
0	0	133
1	1	153
2	1	140
3	1	133
4	2	126
5	2	127
6	2	123
7	3	119
8	3	116
9	3	114
10	4	111
11	4	110
12	4	108
13	5	107
14	5	106
15	5	105
16	6	104
17	6	103
18	6	102
19	7	100
20	7	99
21	7	98
22	8	98
23	8	97
24	8	97
25	9	97
26	9	97
27	10	98
28	10	98
29	10	97
30	11	96
31	11	96
32	11	95
33	12	95
34	12	94
35	12	94
36	13	94
37	13	93
38	13	93
39	14	94
40	14	94
41	15	94
42	15	94
43	16	95
44	16	94
45	17	94
46	17	93
47	17	93
48	18	92
49	18	92
50	18	91
51	19	91
52	19	90
53	19	90
54	20	89
55	20	89
56	20	88
57	21	88
58	21	88
59	21	87
60	22	87
61	22	86
62	22	86
63	23	85
64	23	85
65	24	85
66	24	84
67	24	84
68	25	84
69	25	83
70	25	83
71	26	83
72	26	82
73	27	82
74	27	82
75	27	81
76	28	81
77	29	82
78	29	82
79	30	82
80	30	82
81	30	81
82	31	81
83	31	80
84	31	80
85	32	80
86	32	79
87	32	79
88	33	78
89	33	78
90	33	78
91	34	77
92	34	77
93	35	76
94	35	76
95	35	75
96	36	75
97	36	75
98	36	74
99	37	74
100	37	74
101	37	73
102	38	73
103	38	73
104	39	72
105	39	72
106	39	71
107	40	71
108	40	71
109	40	70
110	41	70
111	41	70
112	42	70
113	43	70
114	43	70
115	44	70
116	44	69
117	44	69
118	45	69
119	45	68
120	46	68
121	46	67
122	46	67
123	47	67
124	47	66
125	47	66
126	48	65
127	48	65
128	49	64
129	49	64
130	49	64
131	50	63
132	50	63
133	50	62
134	51	62
135	51	62
136	51	61
137	52	61
138	52	60
139	52	60
140	53	60
141	53	59
142	53	59
143	54	58
144	55	58
145	55	59
146	56	58
147	57	58
148	57	58
149	57	57
150	58	57
151	58	57
152	59	56
153	59	56
154	59	55
155	60	55
156	60	55
157	60	54
158	61	54
159	61	53
160	61	53
161	62	53
162	62	52
163	63	52
164	63	51
165	63	51
166	64	51
167	64	50
168	64	50
169	65	49
170	65	49
171	65	48
172	66	48
173	66	48
174	66	47
175	67	47
176	67	47
177	68	46
178	68	46
179	68	45
180	69	45
181	70	45
182	70	45
183	71	44
184	71	44
185	71	43
186	72	43
187	72	43
188	72	42
189	73	42
190	73	41
191	73	41
192	74	41
193	74	40
194	74	40
195	75	39
196	75	39
197	76	39
198	76	38
199	76	38
200	77	38
201	77	37
202	77	37
203	78	36
204	78	36
205	79	36
206	79	35
207	79	35
208	80	34
209	80	34
210	80	34
211	81	33
212	81	33
213	82	32
214	82	32
215	83	32
216	83	31
217	83	31
218	84	31
219	84	30
220	85	30
221	85	30
222	85	29
223	86	29
224	86	28
225	86	28
226	87	28
227	87	27
228	87	27
229	88	26
230	88	26
231	88	26
232	89	25
233	89	25
234	90	24
235	90	24
236	90	24
237	91	23
238	91	23
239	91	22
240	92	22
241	92	22
242	93	21
243	93	21
244	93	21
245	94	20
246	94	20
247	94	19
248	95	19
249	95	19
250	95	18
251	96	18
252	96	18
253	97	17
254	98	17
255	98	16
256	98	16
257	99	16
258	99	15
259	99	15
260	100	14
261	100	14
262	100	14
263	101	13
264	101	13
265	102	13
266	102	12
267	102	12
268	103	11
269	103	11
270	103	11
271	104	10
272	104	10
273	104	9
274	105	9
275	105	9
276	105	8
277	106	8
278	106	8
279	106	7
280	107	7
281	107	6
282	107	6
283	108	6
284	108	5
285	109	5
286	109	4
287	109	4
288	110	4
289	111	3
290	111	3
291	111	3
292	112	2
293	112	2
294	113	1
295	113	1
296	113	1
297	114	0
298	114	0
299	114	0
